Gesamtübersicht: Daten zum Kriminalitätsatlas (PKS 2023),,,,,,,,,,,,,,,,,,
Häufigkeitszahlen (HZ) der Bezirke und Bezirksregionen,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
LOR-Schlüssel (Bezirksregion),Bezeichnung (Bezirksregion),"Straftaten 
-insgesamt-",Raub,"Straßenraub,
Handtaschen-raub","Körper-verletzungen 
-insgesamt-",Gefährl. und schwere Körper-verletzung,"Freiheits-beraubung, Nötigung,
Bedrohung, Nachstellung","Diebstahl 
-insgesamt-",Diebstahl von Kraftwagen,"Diebstahl 
an/aus Kfz","Fahrrad-
diebstahl","Wohnraum-
einbruch","Branddelikte 
-insgesamt-","Brand-
stiftung",Sach-beschädigung -insgesamt-,Sach-beschädigung durch Graffiti,Rauschgift-delikte,Kieztaten
063006,Drakestraße,"6,093",50,32,569,98,297,"2,775",222,529,399,208,50,14,691,62,84,"1,437"
064007,Zehlendorf Südwest,"10,055",75,49,684,150,370,"3,878",224,632,654,370,105,56,"1,896",796,127,"2,060"
064008,Zehlendorf Nord,"8,007",74,44,544,116,272,"4,094",181,742,574,677,49,14,"1,083",242,107,"1,732"
069900,"Bezirk (St-Zd), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
070000,Tempelhof-Schöneberg,"11,766",92,56,"1,096",267,539,"5,493",222,989,761,206,68,24,"1,012",175,404,"2,854"
071001,Schöneberg Nordwest,"27,463",406,213,"2,306",650,896,"15,228",156,"1,497","1,683",258,65,23,"1,755",175,"1,041","7,582"
071002,Schöneberg Nordost,"13,483",75,58,975,258,529,"7,519",83,"1,159","1,430",229,58,17,"1,129",200,625,"3,534"
072003,Schöneberg Südwest,"9,526",123,85,941,241,558,"4,488",137,"1,088",757,246,33,19,998,142,378,"2,838"
072004,Schöneberg Südost,"17,479",102,83,"1,433",430,519,"7,886",83,"1,045","1,459",127,64,22,"1,408",452,551,"3,236"
073005,Friedenau West,"7,039",39,27,589,75,244,"3,574",141,550,939,240,47,12,762,228,130,"1,536"
073006,Friedenau Ost,"9,345",47,37,791,135,582,"4,877",303,991,787,163,70,28,959,186,233,"2,304"
074007,Tempelhof Nord,"14,482",58,26,"1,189",268,695,"4,768",210,"1,226",789,137,147,11,"1,337",416,831,"3,278"
074008,Tempelhof Südwest,"12,149",67,30,"1,110",281,537,"4,943",293,"1,079",564,162,73,30,967,162,839,"2,507"
074009,Tempelhof Südost,"16,382",105,39,"1,510",373,856,"8,054",582,"2,079",549,163,150,78,"1,236",105,340,"3,380"
075010,Mariendorf Nord,"8,393",34,15,856,226,479,"3,878",269,887,343,204,65,25,915,111,151,"2,033"
075011,Mariendorf Süd,"8,877",52,33,"1,015",262,491,"3,633",257,825,315,310,38,10,591,29,162,"2,436"
076012,Marienfelde Nord,"7,620",39,11,918,128,417,"3,062",245,757,301,306,67,33,824,117,156,"2,009"
076013,Marienfelde Süd,"7,648",62,42,976,242,533,"2,803",235,616,215,97,97,28,962,90,159,"2,014"
076014,Lichtenrade Nord,"4,563",14,9,665,136,309,"1,761",201,468,108,295,28,14,375,5,98,"1,321"
076015,Lichtenrade Süd,"5,770",64,42,795,167,389,"2,114",212,303,293,167,58,19,640,97,71,"1,715"
079900,"Bezirk (Th-Sb), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
080000,Neukölln,"13,794",155,90,"1,393",423,569,"6,474",199,"1,539",654,220,124,44,"1,268",115,569,"3,121"
081001,Schillerpromenade,"14,009",205,117,"1,289",467,374,"6,959",63,"1,591","1,030",169,114,21,"1,377",87,901,"3,058"
081002,Neuköllner Mitte/Zentrum,"24,833",212,116,"2,189",696,633,"13,589",101,"2,616","1,162",209,130,40,"1,723",161,"1,305","4,641"
081003,Reuterstraße,"17,417",238,127,"1,705",674,578,"8,921",78,"1,643","1,065",140,114,34,"1,625",262,909,"3,710"
081004,Rixdorf,"13,272",170,94,"1,380",482,507,"5,994",99,"1,410","1,177",175,162,66,"1,230",127,863,"3,082"
081005,Köllnische Heide,"18,471",117,45,"1,624",416,734,"7,374",403,"2,956",292,143,286,136,"2,306",71,799,"4,054"
082006,Britz Nord,"11,665",116,51,"1,316",330,744,"4,386",200,"1,391",377,256,88,47,"1,195",84,223,"3,153"
082007,Britz,"12,127",99,73,"1,302",297,668,"5,471",397,"1,742",362,228,103,52,"1,151",125,172,"2,802"
082008,Buckow,"5,602",45,24,803,198,455,"2,120",212,726,142,195,69,45,563,10,73,"1,804"
083009,Gropiusstadt West,"11,012",155,100,"1,257",269,554,"5,638",235,958,235,294,95,25,"1,073",130,175,"2,769"
083010,Gropiusstadt Ost,"8,675",119,87,"1,366",380,672,"2,836",184,743,195,287,173,22,"1,339",98,146,"3,172"
084011,Buckow Nord,"11,307",123,72,"1,458",411,616,"4,950",329,"1,541",288,216,257,103,935,21,72,"2,989"
084012,Rudow,"7,929",77,50,730,145,446,"2,782",310,697,170,328,57,18,633,57,93,"1,687"
089900,"Bezirk (Nk), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
090000,Treptow-Köpenick,"8,901",71,40,951,231,471,"4,111",233,784,727,192,70,26,"1,075",190,232,"2,292"
091001,Alt-Treptow,"17,127",232,135,"1,392",442,891,"9,132",255,"1,722","2,395",255,97,30,"1,520",269,"1,258","4,559"
091002,Plänterwald,"10,163",97,53,901,185,512,"6,040",371,"1,581",539,397,9,9,954,53,115,"2,799"
091003,Baumschulenweg,"8,426",73,41,860,233,559,"3,952",264,906,476,280,57,26,"1,046",129,223,"2,507"
091004,Johannisthal,"7,736",57,33,810,157,457,"3,325",238,919,414,195,19,14,876,162,195,"1,958"
092005,Oberschöneweide,"9,440",40,24,"1,290",320,567,"3,504",248,675,687,124,148,60,"1,422",196,300,"2,920"
092006,Niederschöneweide,"17,042",172,69,"1,484",371,598,"7,941",302,872,"1,161",192,165,55,"2,961",797,350,"4,101"
092007,Adlershof,"9,985",82,46,920,192,554,"4,471",243,668,915,169,50,14,"1,098",169,192,"2,279"
092008,Köllnische Vorstadt/Spindlersfeld,"8,680",48,8,"1,279",264,607,"3,045",128,472,559,256,80,8,"1,199",120,168,"2,893"
093009,Altglienicke,"6,715",36,20,856,236,435,"3,191",282,561,338,255,56,13,730,113,143,"1,778"
093010,Bohnsdorf,"8,560",26,13,821,175,575,"4,325",317,"1,552",304,220,97,26,853,65,194,"1,946"
093011,Grünau,"9,138",61,37,"1,107",246,406,"4,218",172,959,"1,131",197,49,37,"1,181",430,209,"2,521"
093012,Schmöckwitz,"5,267",22,22,575,133,243,"1,792",155,398,66,133,66,22,797,89,22,"1,129"
094013,Köpenick Süd,"4,283",16,8,500,98,164,"1,854",205,418,394,205,25,16,656,57,57,"1,231"
094014,Allende-Viertel,"6,260",42,25,780,108,390,"2,931",216,241,357,83,50,25,780,224,33,"1,553"
094015,Altstadt Köpenick,"8,580",66,39,"1,456",407,512,"2,480",144,276,761,26,39,26,"1,036",131,289,"2,847"
094016,Müggelheim,"3,077",0,0,284,57,213,"1,078",128,156,241,170,14,14,298,28,28,794
095017,Friedrichshagen,"6,089",42,37,542,110,216,"3,102",189,457,847,110,53,5,789,242,158,"1,136"
095018,Rahnsdorf,"5,848",19,9,617,84,299,"2,663",75,467,831,103,47,9,598,103,28,"1,196"
095019,Dammvorstadt,"13,895",212,130,"1,679",513,424,"6,829",122,538,"1,271",73,65,16,"1,247",277,261,"3,113"
095020,Köpenick Nord,"4,248",30,15,368,113,195,"2,083",90,421,662,293,90,45,504,60,128,"1,008"
099900,"Bezirk (Tp-Kp), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100000,Marzahn-Hellersdorf,"9,205",109,61,"1,167",225,522,"3,964",274,744,339,241,109,33,"1,004",135,146,"2,833"
101001,Marzahn Nord,"10,817",177,96,"1,992",438,711,"3,023",297,671,241,84,213,64,"1,385",233,217,"3,843"
101002,Marzahn Mitte,"11,338",137,76,"1,490",333,660,"5,231",368,"1,250",278,227,178,71,"1,116",76,186,"3,672"
101003,Marzahn Süd,"10,339",86,39,919,155,442,"4,738",430,"1,135",243,248,81,27,"1,094",187,135,"2,293"
102004,Hellersdorf Nord,"10,748",120,73,"1,620",294,780,"4,455",270,623,430,188,122,24,"1,190",122,172,"4,420"
102005,Hellersdorf Ost,"8,166",142,82,"1,254",190,513,"3,314",155,487,366,103,103,43,789,147,129,"3,551"
102006,Hellersdorf Süd,"7,354",92,39,"1,055",166,458,"2,849",239,458,246,177,104,27,974,193,131,"2,287"
103007,Biesdorf,"8,193",65,42,823,178,366,"4,100",181,450,583,311,55,10,693,74,100,"1,716"
104008,Kaulsdorf,"5,702",86,51,552,91,202,"2,464",207,435,263,334,35,5,668,71,86,"1,230"
104009,Mahlsdorf,"4,718",26,16,315,56,207,"2,328",69,298,289,485,36,7,675,128,98,866
109900,"Bezirk (Mz-Hd), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110000,Lichtenberg,"10,179",117,84,"1,143",259,499,"4,894",249,951,581,195,72,25,"1,034",203,214,"2,741"
111001,Malchow,"6,459",62,47,"1,105",218,420,"2,381",16,436,249,436,93,16,638,31,78,"1,805"
111002,Neu-Hohenschönhausen Nord,"8,273",144,108,"1,129",263,601,"3,211",184,762,276,144,76,16,"1,057",105,200,"3,135"
111003,Neu-Hohenschönhausen Süd,"9,993",189,117,"1,259",345,630,"4,290",274,939,324,181,85,46,"1,213",192,249,"3,333"
112004,Alt-Hohenschönhausen Nord,"12,500",98,41,"1,500",359,689,"5,538",290,"1,135",469,342,70,12,"1,101",81,249,"3,365"
112005,Alt-Hohenschönhausen Süd,"8,689",99,70,952,233,378,"4,586",329,"1,254",538,230,58,20,806,143,116,"2,733"
113006,Fennpfuhl,"9,147",93,73,"1,079",183,378,"4,274",340,"1,129",390,180,32,12,"1,295",268,201,"2,342"
113007,Alt-Lichtenberg,"17,172",142,112,"1,710",419,786,"9,264",319,"1,217",750,151,106,47,"1,173",192,384,"3,743"
113008,Frankfurter Allee Süd,"20,785",299,251,"1,958",521,502,"9,414",318,"1,900",550,183,154,96,"1,794",810,714,"3,926"
114009,Neu-Lichtenberg,"8,642",108,85,913,159,457,"4,038",181,530,856,125,57,20,913,207,187,"2,317"
114010,Friedrichsfelde Nord,"9,285",98,55,"1,089",220,477,"4,266",263,"1,285",692,159,86,18,"1,151",447,171,"2,564"
114011,Friedrichsfelde Süd,"7,949",61,36,918,165,359,"4,213",169,610,405,197,75,22,681,140,122,"2,126"
115012,Rummelsburger Bucht,"10,568",67,67,"1,122",269,359,"5,789",179,942,"1,212",561,67,22,"1,055",269,269,"2,446"
115013,Karlshorst,"5,433",36,26,569,155,268,"2,726",110,243,906,201,39,10,634,97,45,"1,378"
119900,"Bezirk (Lb), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120000,Reinickendorf,"10,193",116,64,"1,087",275,573,"4,155",214,917,448,204,83,28,925,76,206,"2,730"
121001,Ost 1 - Reginhardstraße,"10,371",143,87,"1,239",366,648,"4,429",153,"1,083",547,160,70,14,"1,100",80,202,"3,990"
121002,Ost 2 - Alt-Reinickendorf,"13,157",203,123,"1,184",304,641,"5,777",355,"1,538",438,174,112,36,"1,158",181,246,"3,225"
122003,West 4 - Auguste-Viktoria-Allee,"11,715",162,76,"1,505",368,747,"4,937",144,751,325,173,51,4,902,83,202,"3,223"
122004,West 1 - Tegel-Süd/Flughafensee,"14,316",67,12,"1,592",369,914,"4,685",278,"1,289",327,327,85,48,"1,084",24,950,"3,801"
122005,West 5 - Tegel,"16,140",282,154,"1,526",327,745,"8,392",154,472,817,91,54,18,926,118,245,"3,342"
124006,West 2 - Heiligensee/Konradshöhe,"4,291",29,12,424,61,318,"1,607",131,457,179,167,29,8,624,41,86,"1,101"
124007,Nord 1 - Frohnau/Hermsdorf,"5,653",51,33,341,91,263,"2,906",242,680,719,384,39,15,891,66,66,"1,202"
125008,West 3 - Borsigwalde/Freie Scholle,"7,568",84,54,821,193,495,"3,259",296,893,386,91,133,54,791,18,145,"1,937"
125009,Nord 2 - Waidmannslust/Wittenau/Lübars,"13,923",110,69,"1,334",329,529,"4,281",213,814,495,276,110,38,"1,043",141,166,"2,869"
126010,Rollbergesiedlung,"10,455",74,32,"1,083",255,425,"5,201",340,966,340,212,106,53,839,0,149,"3,237"
126011,MV Nord,"7,896",106,55,"1,230",321,548,"3,161",131,836,263,88,142,51,781,22,139,"2,807"
126012,MV Süd,"6,041",73,36,757,226,502,"1,885",109,684,182,189,73,22,488,15,58,"1,878"
129900,"Bezirk (Rd), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
999900,"Stadtgebiet Berlin, nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Berlin (PKS gesamt),"13,881",139,86,"1,248",326,620,"5,855",201,"1,009",744,215,85,29,"1,175",193,453,"3,097"
