Gesamtübersicht: Daten zum Kriminalitätsatlas (PKS 2022),,,,,,,,,,,,,,,,,,
Fallzahlen der Bezirke und Bezirksregionen,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
LOR-Schlüssel (Bezirksregion),Bezeichnung (Bezirksregion),"Straftaten 
-insgesamt-",Raub,"Straßenraub,
Handtaschen-raub","Körper-verletzungen 
-insgesamt-",Gefährl. und schwere Körper-verletzung,"Freiheits-beraubung, Nötigung,
Bedrohung, Nachstellung","Diebstahl 
-insgesamt-",Diebstahl von Kraftwagen,"Diebstahl 
an/aus Kfz","Fahrrad-
diebstahl","Wohnraum-
einbruch","Branddelikte 
-insgesamt-","Brand-
stiftung",Sach-beschädigung -insgesamt-,Sach-beschädigung durch Graffiti,Rauschgift-delikte,Kieztaten
020000,Friedrichshain-Kreuzberg,"54,988",935,667,"4,931","1,739","1,558","24,461",299,"2,946","4,105",327,323,94,"5,043","1,057","4,599","12,827"
021001,Südliche  Friedrichstadt,"7,971",121,76,676,235,270,"3,439",39,613,460,39,50,11,674,99,622,"1,889"
022002,Tempelhofer Vorstadt,"9,944",162,125,857,301,257,"4,795",55,596,993,72,97,26,"1,000",213,488,"2,134"
023003,Nördliche Luisenstadt,"5,454",109,77,517,210,129,"2,579",33,338,317,26,38,15,393,48,614,"1,283"
023004,Südliche Luisenstadt,"8,267",206,163,587,278,156,"2,693",26,523,521,41,28,6,515,81,"1,589","1,640"
024005,Karl-Marx-Allee Nord,"2,707",53,37,262,70,109,"1,338",30,148,238,32,10,5,298,39,62,859
024006,Karl-Marx-Allee Süd,"6,914",109,70,735,230,157,"3,428",24,174,418,30,25,10,496,122,405,"1,566"
025007,Frankfurter Allee Nord,"3,733",28,14,323,87,150,"1,678",36,112,307,33,30,11,544,95,101,851
025008,Frankfurter Allee Süd FK,"8,164",100,66,853,285,293,"3,406",45,293,743,54,44,10,"1,036",353,636,"2,019"
029900,"Bezirk (Fh-Kb), nicht zuzuordnen","1,834",47,39,121,43,37,"1,105",11,149,108,0,1,0,87,7,82,586
030000,Pankow,"40,120",460,351,"3,463",999,"1,484","20,342",560,"2,564","4,123",629,275,89,"4,348","1,032",750,"9,248"
031001,Buch,"2,503",31,18,313,80,112,"1,174",16,198,151,23,29,15,286,58,31,574
032002,Blankenfelde/Niederschönhausen,"1,584",9,6,119,25,66,745,32,112,170,53,18,5,140,20,15,272
032003,Buchholz,940,5,3,68,9,40,452,32,83,74,27,12,5,96,14,11,172
033004,Karow,"1,012",6,5,78,19,58,521,9,56,86,70,6,1,93,13,22,188
033005,Blankenburg/Heinersdorf/Märchenland,"1,868",10,6,143,38,68,770,22,135,121,52,14,3,175,38,17,280
034006,Schönholz/Wilhelmsruh/Rosenthal,"1,099",10,7,90,21,39,529,32,115,75,61,13,6,122,17,14,212
034007,Pankow Zentrum,"3,261",48,38,249,70,107,"1,664",25,165,376,36,17,5,330,69,44,691
034008,Pankow Süd,"2,621",31,22,221,64,126,"1,279",62,183,305,47,16,5,283,68,34,666
035009,Weißensee,"3,445",34,25,308,86,151,"1,702",51,184,365,51,24,7,456,104,65,830
035010,Weißensee Ost,"1,243",5,2,145,36,80,501,46,111,63,20,16,9,135,25,29,350
036011,Prenzlauer Berg Nordwest,"3,480",73,66,341,125,102,"1,914",28,159,428,15,9,1,358,99,107,"1,116"
036012,Prenzlauer Berg Nord,"3,091",36,18,199,46,64,"1,912",39,172,437,42,16,3,275,73,60,703
036013,Helmholtzplatz,"2,391",16,12,200,61,75,"1,224",17,85,315,23,11,3,324,106,76,513
036014,Prenzlauer Berg Ost,"4,453",56,45,385,127,150,"2,289",44,291,291,56,34,9,456,125,111,914
037015,Prenzlauer Berg Südwest,"3,278",41,36,355,126,95,"1,691",36,184,405,36,13,5,413,101,66,904
037016,Prenzlauer Berg Süd,"2,652",27,22,184,46,93,"1,318",47,193,352,16,17,3,322,84,38,645
039900,"Bezirk (Pk), nicht zuzuordnen","1,199",22,20,65,20,58,657,22,138,109,1,10,4,84,18,10,218
040000,Charlottenburg-Wilmersdorf,"48,858",416,251,"3,694",902,"2,058","21,153",628,"4,004","2,854",736,249,78,"3,965",823,"1,335","10,286"
041001,Charlottenburg Nord,"2,710",24,12,273,60,256,714,72,216,41,35,20,5,211,14,338,739
042002,Heerstraße,"1,463",15,10,203,61,47,554,26,123,57,56,13,5,191,62,40,384
042003,Westend,"3,589",14,9,256,46,266,"1,542",62,340,155,66,26,5,316,38,52,860
043004,Schloss Charlottenburg,"4,444",39,26,349,86,181,"1,990",59,309,429,65,34,16,576,178,112,987
043005,Mierendorffplatz,"1,895",25,17,181,42,97,760,38,186,118,24,14,3,197,32,31,440
043006,Otto-Suhr-Allee/Kantstraße,"7,300",73,42,605,144,243,"3,643",60,404,560,86,40,13,511,98,184,"1,399"
044007,Grunewald,"2,163",24,15,134,28,115,999,63,447,116,87,13,3,250,56,24,488
044008,Schmargendorf,"2,186",18,10,155,36,81,"1,149",54,247,211,61,12,9,242,41,29,652
045009,Halensee,"3,509",27,18,255,61,144,"1,653",58,325,220,76,15,4,310,41,57,775
045010,Lietzenburger Straße,"12,728",97,52,831,229,302,"4,564",49,697,414,102,24,6,661,176,316,"1,916"
045011,Volkspark Wilmersdorf,"5,157",38,20,362,84,225,"2,543",68,501,469,77,29,5,420,76,97,"1,293"
049900,"Bezirk (Ch-Wi), nicht zuzuordnen","1,714",22,20,90,25,101,"1,042",19,209,64,1,9,4,80,11,55,353
050000,Spandau,"26,342",272,170,"2,882",678,"1,415","10,550",358,"2,373",867,474,266,121,"2,445",283,559,"7,072"
051001,Hakenfelde,"1,940",12,8,206,45,107,922,32,183,63,31,16,5,174,7,30,547
051002,Falkenhagener Feld,"3,119",34,17,443,113,245,"1,129",65,320,85,99,23,10,352,14,59,997
051003,Spandau Mitte,"6,324",86,63,691,171,310,"2,667",56,485,190,84,40,17,504,55,227,"2,000"
052004,Brunsbütteler Damm,"1,580",16,9,177,37,76,679,24,191,50,49,28,11,165,18,31,392
052005,Heerstraße,"2,562",22,14,326,77,192,832,28,190,53,77,82,45,315,28,46,761
052006,Wilhelmstadt,"5,664",50,30,555,123,199,"2,210",52,357,192,65,31,13,424,97,82,"1,166"
053007,Haselhorst,"1,874",18,7,216,48,121,769,47,246,76,33,7,4,190,24,40,497
053008,Siemensstadt,"1,594",13,5,142,25,78,615,28,181,79,8,18,4,174,30,24,329
054009,Gatow/Kladow,831,7,5,68,16,53,303,10,53,53,28,12,7,75,4,7,164
059900,"Bezirk (Sp), nicht zuzuordnen",854,14,12,58,23,34,424,16,167,26,0,9,5,72,6,13,219
060000,Steglitz-Zehlendorf,"23,757",167,106,"1,935",349,"1,032","10,858",499,"1,571","1,701",662,158,60,"2,672",587,458,"5,471"
061001,Schloßstraße,"3,255",31,24,209,48,148,"1,707",35,99,235,25,13,4,192,38,53,527
061002,Albrechtstraße,"2,825",28,17,232,37,124,"1,327",87,224,230,66,16,5,292,40,52,818
062003,Lankwitz,"2,988",19,9,349,57,182,"1,197",55,250,113,72,24,5,312,14,92,899
062004,Ostpreußendamm,"2,417",9,5,261,39,100,"1,075",47,149,163,74,26,7,289,59,26,640
063005,Teltower Damm,"2,574",17,10,183,40,100,"1,260",63,141,225,105,14,4,235,46,41,547
063006,Drakestraße,"3,114",15,8,296,44,151,"1,338",90,178,195,76,20,8,316,29,43,752
064007,Zehlendorf Südwest,"2,520",17,13,166,33,85,932,29,183,148,81,27,19,463,186,35,439
064008,Zehlendorf Nord,"3,408",25,14,219,46,115,"1,639",76,260,299,163,15,6,494,168,90,689
069900,"Bezirk (St-Zd), nicht zuzuordnen",656,6,6,20,5,27,383,17,87,93,0,3,2,79,7,26,160
070000,Tempelhof-Schöneberg,"39,290",332,227,"3,567",753,"1,752","18,227",517,"2,767","2,505",458,194,54,"3,698",743,"1,080","9,996"
071001,Schöneberg Nordwest,"5,962",69,49,573,160,199,"3,135",15,336,411,48,30,4,408,61,256,"1,560"
071002,Schöneberg Nordost,"3,116",31,19,221,53,109,"1,682",18,192,337,44,7,0,262,48,100,819
072003,Schöneberg Südwest,"2,094",11,9,193,39,69,"1,076",35,152,209,23,8,6,194,29,56,584
072004,Schöneberg Südost,"5,465",35,25,452,101,153,"2,234",22,179,409,39,19,4,519,198,150,"1,130"
073005,Friedenau West,"1,899",16,11,122,14,81,940,19,112,190,44,19,2,224,60,20,450
073006,Friedenau Ost,"1,917",18,11,153,26,120,941,70,205,156,17,12,5,214,43,42,562
074007,Tempelhof Nord,"2,228",15,9,200,39,96,802,26,159,162,12,9,0,269,113,108,579
074008,Tempelhof Südwest,"3,733",33,15,320,58,195,"1,754",56,281,154,36,19,7,328,67,91,"1,043"
074009,Tempelhof Südost,"2,140",15,11,188,45,103,"1,086",46,254,110,14,7,1,173,21,55,476
075010,Mariendorf Nord,"2,627",24,16,263,47,143,"1,180",47,189,101,26,11,6,202,16,45,681
075011,Mariendorf Süd,"1,853",10,7,172,32,99,803,37,168,65,55,8,2,154,16,28,438
076012,Marienfelde Nord,"1,314",10,7,141,41,62,595,33,139,33,22,10,4,137,29,41,329
076013,Marienfelde Süd,"1,238",9,8,163,34,91,470,24,85,13,10,8,2,163,3,27,395
076014,Lichtenrade Nord,921,3,2,109,12,62,355,24,103,19,32,13,4,106,4,14,245
076015,Lichtenrade Süd,"1,862",15,10,212,34,116,707,28,107,73,35,11,5,277,30,31,472
079900,"Bezirk (Th-Sb), nicht zuzuordnen",921,18,18,85,18,54,467,17,106,63,1,3,2,68,5,16,233
080000,Neukölln,"42,790",493,279,"4,233","1,212","1,749","19,204",503,"4,442","2,156",515,334,128,"3,739",402,"1,986","9,881"
081001,Schillerpromenade,"4,637",57,37,487,158,145,"2,223",26,504,393,42,26,11,379,53,341,"1,073"
081002,Neuköllner Mitte/Zentrum,"8,655",104,60,697,232,265,"4,284",21,828,459,52,42,16,586,79,538,"1,556"
081003,Reuterstraße,"6,355",59,36,591,197,187,"3,029",22,669,456,51,30,14,488,67,362,"1,337"
081004,Rixdorf,"5,090",62,25,531,168,201,"2,183",39,461,421,56,51,25,457,53,322,"1,236"
081005,Köllnische Heide,"2,860",15,6,197,44,117,"1,064",42,330,43,28,31,8,371,11,178,563
082006,Britz Nord,"2,190",19,8,261,59,127,785,34,259,66,24,20,11,185,19,47,546
082007,Britz,"2,615",33,21,300,71,133,"1,098",61,340,79,40,35,17,284,39,46,618
082008,Buckow,"1,660",23,13,237,58,119,605,41,184,30,51,11,7,164,5,20,560
083009,Gropiusstadt West,"2,298",26,15,224,53,101,"1,139",36,177,31,22,18,4,234,33,30,615
083010,Gropiusstadt Ost,"1,500",33,22,268,62,96,530,34,136,40,16,36,8,213,18,18,538
084011,Buckow Nord,908,8,1,105,24,58,382,20,117,29,17,7,2,62,3,21,222
084012,Rudow,"2,838",33,19,283,62,161,"1,125",111,256,61,115,24,4,263,21,34,727
089900,"Bezirk (Nk), nicht zuzuordnen","1,184",21,16,52,24,39,757,16,181,48,1,3,1,53,1,29,290
090000,Treptow-Köpenick,"26,843",244,156,"2,574",636,"1,254","12,100",459,"1,908","1,917",429,209,82,"3,195",674,629,"6,482"
091001,Alt-Treptow,"2,444",71,58,227,80,86,"1,217",22,137,276,24,19,9,217,31,153,600
091002,Plänterwald,"1,157",9,7,83,17,47,590,42,138,74,29,7,5,159,20,14,282
091003,Baumschulenweg,"1,619",13,6,159,41,78,795,52,170,123,28,11,3,182,30,42,391
091004,Johannisthal,"1,664",11,2,142,31,107,649,22,140,109,46,8,1,154,25,27,421
092005,Oberschöneweide,"2,302",11,8,289,66,109,943,41,215,135,19,11,3,286,48,72,653
092006,Niederschöneweide,"2,523",12,9,210,58,85,"1,134",25,78,176,7,27,9,372,148,17,484
092007,Adlershof,"2,380",18,8,175,43,112,"1,190",37,155,185,43,15,7,248,28,41,498
092008,Köllnische Vorstadt/Spindlersfeld,"1,155",6,2,140,30,71,426,18,83,63,11,11,4,192,45,27,367
093009,Altglienicke,"1,955",16,5,226,43,139,799,36,105,79,62,11,1,230,24,25,528
093010,Bohnsdorf,"1,251",5,0,107,21,63,562,23,115,60,39,7,1,124,8,17,278
093011,Grünau,826,5,3,73,17,13,421,10,57,64,10,0,0,148,94,10,172
093012,Schmöckwitz,236,0,0,22,5,5,117,5,37,8,1,2,1,25,6,6,52
094013,Köpenick Süd,450,0,0,53,11,20,188,12,28,30,15,6,4,54,9,8,109
094014,Allende-Viertel,826,9,6,74,12,42,394,20,58,40,7,12,8,81,7,18,178
094015,Altstadt Köpenick,685,8,6,112,25,50,198,5,17,33,6,10,2,103,11,19,263
094016,Müggelheim,234,0,0,22,3,13,68,6,9,4,10,3,2,26,6,9,48
095017,Friedrichshagen,"1,187",12,9,98,22,47,561,16,81,110,17,15,5,158,53,23,265
095018,Rahnsdorf,679,8,5,57,12,37,295,10,21,91,22,12,5,82,17,8,145
095019,Dammvorstadt,"1,691",15,8,180,61,77,710,10,43,119,17,2,0,179,41,61,399
095020,Köpenick Nord,588,5,4,46,12,16,269,17,70,67,16,6,1,74,9,11,115
099900,"Bezirk (Tp-Kp), nicht zuzuordnen",991,10,10,79,26,37,574,30,151,71,0,14,11,101,14,21,234
100000,Marzahn-Hellersdorf,"26,230",263,172,"3,075",652,"1,308","11,440",438,"2,156","1,099",423,248,71,"2,895",462,434,"7,341"
101001,Marzahn Nord,"2,261",24,10,369,86,171,811,38,101,101,18,39,9,319,57,45,837
101002,Marzahn Mitte,"5,702",50,30,706,147,259,"2,583",95,541,191,81,41,13,522,54,72,"1,771"
101003,Marzahn Süd,"4,118",25,19,387,86,143,"1,806",94,407,95,50,23,8,384,36,70,938
102004,Hellersdorf Nord,"4,136",58,41,663,142,237,"1,524",60,254,124,32,30,10,593,111,77,"1,383"
102005,Hellersdorf Ost,"1,813",24,18,242,38,102,743,17,182,132,20,28,7,192,20,41,649
102006,Hellersdorf Süd,"2,200",26,18,266,66,129,939,32,157,55,20,41,12,283,65,52,638
103007,Biesdorf,"2,482",15,9,172,31,114,"1,381",39,179,186,78,18,2,201,29,29,454
104008,Kaulsdorf,"1,329",8,6,127,26,63,593,19,134,68,43,13,6,143,23,18,282
104009,Mahlsdorf,"1,582",21,10,104,15,59,738,35,125,102,81,11,2,183,55,21,250
109900,"Bezirk (Mz-Hd), nicht zuzuordnen",607,12,11,39,15,31,322,9,76,45,0,4,2,75,12,9,139
110000,Lichtenberg,"29,805",295,214,"3,064",733,"1,219","13,968",547,"2,298","1,565",471,246,80,"3,154",690,556,"7,607"
111001,Malchow,432,6,4,55,12,18,196,2,27,16,29,8,1,40,2,6,91
111002,Neu-Hohenschönhausen Nord,"2,139",25,20,284,76,130,742,20,125,42,37,21,10,254,29,64,703
111003,Neu-Hohenschönhausen Süd,"2,316",32,26,331,91,161,880,34,187,43,18,38,11,328,50,43,753
112004,Alt-Hohenschönhausen Nord,"1,977",26,20,203,51,109,865,21,173,51,47,8,5,168,31,27,493
112005,Alt-Hohenschönhausen Süd,"2,834",28,19,317,74,104,"1,337",105,289,131,64,24,10,246,38,48,786
113006,Fennpfuhl,"3,085",35,27,300,76,117,"1,501",84,301,136,52,20,8,383,80,42,811
113007,Alt-Lichtenberg,"5,229",31,15,538,137,169,"2,505",88,355,279,55,67,20,508,125,93,"1,120"
113008,Frankfurter Allee Süd,"2,244",24,18,147,28,33,"1,146",26,143,71,22,7,3,220,95,64,539
114009,Neu-Lichtenberg,"3,012",37,28,334,68,113,"1,450",42,180,289,26,9,2,337,89,63,707
114010,Friedrichsfelde Nord,"1,495",13,9,170,38,79,620,36,146,90,13,13,2,196,55,36,460
114011,Friedrichsfelde Süd,"2,026",16,11,190,42,82,932,31,129,105,35,17,6,237,47,30,482
115012,Rummelsburger Bucht,513,6,4,38,7,10,287,13,33,75,11,3,1,59,18,11,91
115013,Karlshorst,"1,477",10,7,121,26,75,785,30,79,196,62,6,1,127,24,19,372
119900,"Bezirk (Lb), nicht zuzuordnen","1,026",6,6,36,7,19,722,15,131,41,0,5,0,51,7,10,199
120000,Reinickendorf,"27,251",227,140,"2,751",680,"1,461","10,088",331,"1,897","1,066",452,204,78,"2,311",269,644,"6,625"
121001,Ost 1 - Reginhardstraße,"2,725",22,15,332,77,182,"1,084",35,258,81,52,29,14,264,20,83,910
121002,Ost 2 - Alt-Reinickendorf,"3,743",29,16,322,70,166,"1,416",50,325,121,55,26,8,308,48,71,877
122003,West 4 - Auguste-Viktoria-Allee,"3,168",37,14,411,118,166,"1,307",22,214,105,30,24,3,294,32,84,795
122004,West 1 - Tegel-Süd/Flughafensee,"1,849",18,9,199,51,130,588,26,173,38,37,15,7,171,7,148,506
122005,West 5 - Tegel,"1,772",22,17,181,48,69,935,4,41,86,10,4,2,99,12,24,346
124006,West 2 - Heiligensee/Konradshöhe,"1,003",3,1,96,27,74,409,22,100,56,31,10,8,128,20,11,229
124007,Nord 1 - Frohnau/Hermsdorf,"1,651",12,9,128,35,77,775,37,119,202,90,10,1,204,28,22,359
125008,West 3 - Borsigwalde/Freie Scholle,"1,155",12,9,121,23,97,417,22,102,60,20,15,5,116,4,46,317
125009,Nord 2 - Waidmannslust/Wittenau/Lübars,"5,490",25,17,378,96,170,"1,363",44,234,144,71,15,9,284,82,72,859
126010,Rollbergesiedlung,852,7,6,70,14,51,347,15,56,27,14,7,2,87,3,12,222
126011,MV Nord,"2,280",19,14,353,89,161,788,29,141,70,18,32,8,227,7,46,784
126012,MV Süd,872,11,6,109,18,86,254,9,58,27,23,6,2,84,4,18,294
129900,"Bezirk (Rd), nicht zuzuordnen",691,10,7,51,14,32,405,16,76,49,1,11,9,45,2,7,127
999900,"Stadtgebiet Berlin, nicht zuzuordnen","52,375",89,49,539,155,"1,285","6,413",29,422,221,1,10,5,"1,203",556,715,"2,115"
999999,Berlin (PKS gesamt),"519,827","5,016","3,284","44,425","11,834","20,672","213,803","5,581","33,432","28,801","6,155","3,106","1,052","44,837","8,773","17,062","112,803"
